date,factor,quantile,forward_return
2023-06-27,reversal_5d,3,0.02541577028648011
2023-06-27,reversal_5d,4,0.0506184623343832
2023-06-27,reversal_5d,5,0.03345138278756769
2023-07-25,reversal_5d,1,-0.02144807985944627
2023-07-25,reversal_5d,2,-0.0183021967134429
2023-07-25,reversal_5d,3,-0.04620238200240736
2023-07-25,reversal_5d,4,-0.05283835570608518
2023-07-25,reversal_5d,5,-0.07076083004020658
2023-08-22,reversal_5d,1,-0.0002680243361641096
2023-08-22,reversal_5d,2,-0.0038545514914401354
2023-08-22,reversal_5d,3,-0.011192302669280257
2023-08-22,reversal_5d,4,-0.011383608108799395
2023-08-22,reversal_5d,5,-0.0541064697795098
2023-09-19,reversal_5d,1,-0.03510168557278481
2023-09-19,reversal_5d,2,-0.06289993063748404
2023-09-19,reversal_5d,3,-0.04878974434369786
2023-09-19,reversal_5d,4,-0.05649960358559476
2023-09-19,reversal_5d,5,-0.07314880238058649
2023-10-25,reversal_5d,1,0.007241760311672518
2023-10-25,reversal_5d,2,0.01590788236750135
2023-10-25,reversal_5d,3,0.003957199801475325
2023-10-25,reversal_5d,4,0.03176319769345468
2023-10-25,reversal_5d,5,0.023002206495693633
2023-11-22,reversal_5d,1,-0.03819764811174777
2023-11-22,reversal_5d,2,-0.06248586828395258
2023-11-22,reversal_5d,3,-0.07186874615865853
2023-11-22,reversal_5d,4,-0.0817049235073306
2023-11-22,reversal_5d,5,-0.09903783564405363
2023-12-20,reversal_5d,1,0.035902274123709235
2023-12-20,reversal_5d,2,0.012011512084337001
2023-12-20,reversal_5d,3,-0.0011849112281688678
2023-12-20,reversal_5d,4,-0.0165990548542897
2023-12-20,reversal_5d,5,-0.06525714326570352
2024-01-18,reversal_5d,1,0.04768330657937101
2024-01-18,reversal_5d,2,0.07898308566988166
2024-01-18,reversal_5d,3,0.053451056197123696
2024-01-18,reversal_5d,4,0.05347555195682095
2024-01-18,reversal_5d,5,0.017811180432621546
2024-02-23,reversal_5d,1,0.056957712000474094
2024-02-23,reversal_5d,2,0.020772374025719208
2024-02-23,reversal_5d,3,0.004373838141300331
2024-02-23,reversal_5d,4,-0.0016898135919594438
2024-02-23,reversal_5d,5,0.02724352832574805
2024-03-22,reversal_5d,1,-0.040566679085423545
2024-03-22,reversal_5d,2,-0.010747474184776073
2024-03-22,reversal_5d,3,-0.0025507692612242285
2024-03-22,reversal_5d,4,-0.028461233255300585
2024-03-22,reversal_5d,5,-0.03923967012924819
2024-04-23,reversal_5d,1,0.03958249490228074
2024-04-23,reversal_5d,2,0.03921332562090229
2024-04-23,reversal_5d,3,0.029355887687936868
2024-04-23,reversal_5d,4,0.03806941361241518
2024-04-23,reversal_5d,5,0.0397933887691229
2024-05-24,reversal_5d,1,-0.02409442939643684
2024-05-24,reversal_5d,2,-0.015131409207713215
2024-05-24,reversal_5d,3,-0.03984744182237481
2024-05-24,reversal_5d,4,-0.04384865272972507
2024-05-24,reversal_5d,5,-0.05238471980537288
2024-06-24,reversal_5d,1,0.04219291339946215
2024-06-24,reversal_5d,2,0.01774738383527913
2024-06-24,reversal_5d,3,0.009711261902944895
2024-06-24,reversal_5d,4,0.012558084491691346
2024-06-24,reversal_5d,5,0.002060001730809743
2024-07-22,reversal_5d,1,-0.05730097406910242
2024-07-22,reversal_5d,2,-0.041358935144250375
2024-07-22,reversal_5d,3,-0.041995215153402175
2024-07-22,reversal_5d,4,-0.03854321106046743
2024-07-22,reversal_5d,5,-0.04239249880062343
2024-08-19,reversal_5d,1,-0.04618223121930556
2024-08-19,reversal_5d,2,-0.05904022374464917
2024-08-19,reversal_5d,3,-0.044914314153767385
2024-08-19,reversal_5d,4,-0.06350115202006903
2024-08-19,reversal_5d,5,-0.06628134409119582
2024-09-18,reversal_5d,1,0.21124724529948655
2024-09-18,reversal_5d,2,0.2582558772137143
2024-09-18,reversal_5d,3,0.30198835780119637
2024-09-18,reversal_5d,4,0.32273552485987267
2024-09-18,reversal_5d,5,0.3047704566278724
2024-10-23,reversal_5d,1,0.06708217523448713
2024-10-23,reversal_5d,2,0.020292715626149913
2024-10-23,reversal_5d,3,0.020994105027877533
2024-10-23,reversal_5d,4,-0.004432169218597069
